"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006334","nucleosome assembly","56/2639","120/18805",0.466666666666667,3.32537577365164,10.3247785292317,7.07668779907919e-18,4.18656850193525e-14,3.71265389374849e-14,"ASF1B/MACROH2A1/H3C10/H2BC17/H2AX/H2BC6/ATAD2/H3C12/H2BC9/H4C5/H4C9/H2BC7/H4C4/H4C14/H2BC4/SMYD3/CHAF1B/H2BC11/H3C2/MCM2/H4C8/H2BC21/H1-2/CHAF1A/H1-5/H4C12/H3C8/H2BC8/H2BC13/H4C11/H1-3/H3C3/HMGB2/H2BC15/H1-4/H1-6/H2BC14/H4C3/H3C7/H3C6/H4C2/H3C13/H4C16/H3C11/H2BC3/H2BC10/H4C1/H4C15/H3C14/H3C1/H3C15/H1-1/H4C6/H4C13/H3-4/TSPYL6",56
"GO:0071459","protein localization to chromosome, centromeric region","29/2639","41/18805",0.707317073170732,5.04020369874028,10.4634765961946,2.27103840037567e-16,5.28787068101152e-13,4.68928996728968e-13,"CDK1/BUB1B/KNL1/AURKB/CENPA/TTK/HASPIN/H4C5/ZWILCH/H4C9/H4C4/H4C14/H2BC11/BUB3/MIS18A/H4C8/KNTC1/H4C12/H4C11/H2AC8/MTBP/H4C3/H4C2/H4C16/H2AC4/H4C1/H4C15/H4C6/H4C13",29
"GO:0034728","nucleosome organization","59/2639","140/18805",0.421428571428571,3.00301791804255,9.61121703048354,3.52194157187257e-16,5.28787068101152e-13,4.68928996728968e-13,"ASF1B/MACROH2A1/H3C10/H2BC17/H2AX/H2BC6/ATAD2/H3C12/H2BC9/H4C5/H4C9/H2BC7/H4C4/H4C14/H2BC4/SMYD3/CHAF1B/H2BC11/H3C2/MCM2/H4C8/H2BC21/HMGA1/H1-2/CHAF1A/H1-5/H4C12/H3C8/H2BC8/H2BC13/H4C11/H1-3/H3C3/HMGB2/H2BC15/H2AC25/H1-4/H1-6/H2BC14/H4C3/H3C7/H3C6/H4C2/H3C13/H4C16/H3C11/H2BC3/H2BC10/H4C1/H4C15/H3C14/H3C1/NFE2/H3C15/H1-1/H4C6/H4C13/H3-4/TSPYL6",59
"GO:0061644","protein localization to CENP-A containing chromatin","18/2639","18/18805",1,7.1258052292535,10.5054400372429,4.23924777520242e-16,5.28787068101152e-13,4.68928996728968e-13,"CENPA/H4C5/H4C9/H4C4/H4C14/H2BC11/H4C8/H4C12/H4C11/H2AC8/H4C3/H4C2/H4C16/H2AC4/H4C1/H4C15/H4C6/H4C13",18
"GO:0000280","nuclear division","128/2639","448/18805",0.285714285714286,2.03594435121529,8.96639999058417,4.4691266742829e-16,5.28787068101152e-13,4.68928996728968e-13,"NEK2/KIF4A/PKMYT1/UBE2C/TPX2/CDC25C/NUF2/UHRF1/SPC25/CDK1/CENPF/BUB1/PLK1/SPC24/KIFC1/KIF18B/DLGAP5/CCNB1/ASPM/PTTG1/AURKA/CKS2/KIF2C/ZWINT/ANLN/SKA1/NDC80/CDCA8/SKA3/KIF14/SGO1/CDCA5/BIRC5/TOP2A/CDC20/CCNB2/BUB1B/KNL1/KIF23/KIF11/NCAPG/SPAG5/MKI67/RAD51/NCAPH/AURKB/MYBL2/ESPL1/CENPE/KIF15/TTK/UBE2S/TRIP13/RACGAP1/RAD54L/KIF18A/MAD2L1/CDCA2/EME1/KIF22/RAD51AP1/CENPI/CDT1/CENPK/FBXO43/RAD54B/MISP/PSRC1/CCNE2/P3H4/BRIP1/FANCD2/CHEK1/HASPIN/ZWILCH/RMI1/TESMIN/FANCA/CCNE1/REEP4/BUB3/DCAF13/RCC1/BRCA2/MAPK15/CENPX/TUBG1/SMC4/KNSTRN/CALR/TDRKH/NCAPG2/GEN1/MYBL1/KNTC1/HSF2BP/EME2/TEX19/TUBB8/CENPS/ANAPC11/HORMAD1/SPIRE2/RRS1/SYCE3/PRC1/RAD21/MTBP/CDC25B/SYCP2/TEX11/KIF4B/MAEL/TEX14/DMRT1/STRA8/MND1/REC8/ASZ1/BRDT/DMRTC2/TEX15/MEIOSIN/SHOC1/EPGN/KASH5/TDRD12/MAJIN",128
"GO:0007059","chromosome segregation","123/2639","431/18805",0.28538283062645,2.03358246681713,8.77052198937996,1.86513495579884e-15,1.83902306641766e-12,1.6308478280178e-12,"NEK2/KIF4A/UBE2C/TPX2/NUF2/UHRF1/SPC25/HJURP/CDK1/CENPF/BUB1/PLK1/SPC24/KIFC1/KIF18B/DLGAP5/CCNB1/ASPM/PTTG1/AURKA/KIF2C/ZWINT/SKA1/NDC80/CDCA8/SKA3/KIF14/SGO1/CDCA5/BIRC5/TOP2A/CDC20/FAM83D/CCNB2/BUB1B/KNL1/KIF23/KIF11/NCAPG/SPAG5/MKI67/NCAPH/AURKB/MYBL2/RMI2/CENPM/ESPL1/TACC3/ESCO2/CENPU/CENPE/KIF15/TTK/TRIP13/RACGAP1/KIF18A/MAD2L1/CDCA2/ECT2/KIF22/CDC6/OIP5/CENPI/STIL/CDT1/CENPK/MISP/PSRC1/DIAPH3/CCNE2/P3H4/BRIP1/CENPL/FANCD2/HASPIN/CENPO/ZWILCH/SGO2/CCNE1/FIRRM/BUB3/MIS18A/DSN1/DCAF13/RCC1/MAPK15/CENPX/TUBG1/SMC4/KNSTRN/NCAPG2/SAC3D1/GEN1/CENPH/KNTC1/GPSM2/CENPP/CENPN/TUBB8/CENPS/ANAPC11/HORMAD1/RRS1/CENPW/SYCE3/PRC1/RAD21/BRCA1/MTCL1/DPF1/SYCP2/TEX11/KIF4B/MAEL/TEX14/MND1/REC8/RAD21L1/ACTL6B/TEX15/SHOC1/KASH5/MAJIN",123
"GO:0098813","nuclear chromosome segregation","98/2639","322/18805",0.304347826086957,2.16872333064237,8.54667022534537,1.80371439112324e-14,1.52439633398358e-11,1.35183646997868e-11,"NEK2/KIF4A/UBE2C/TPX2/NUF2/UHRF1/SPC25/CDK1/CENPF/BUB1/PLK1/SPC24/KIFC1/KIF18B/DLGAP5/CCNB1/ASPM/PTTG1/AURKA/KIF2C/ZWINT/SKA1/NDC80/CDCA8/SKA3/KIF14/SGO1/CDCA5/BIRC5/TOP2A/CDC20/FAM83D/CCNB2/BUB1B/KNL1/KIF23/KIF11/NCAPG/SPAG5/NCAPH/AURKB/MYBL2/RMI2/ESPL1/TACC3/CENPE/KIF15/TTK/TRIP13/RACGAP1/KIF18A/MAD2L1/ECT2/KIF22/CDC6/CENPI/CDT1/CENPK/MISP/PSRC1/CCNE2/P3H4/BRIP1/FANCD2/HASPIN/ZWILCH/CCNE1/BUB3/DSN1/DCAF13/RCC1/MAPK15/TUBG1/SMC4/KNSTRN/NCAPG2/GEN1/KNTC1/TUBB8/ANAPC11/HORMAD1/RRS1/SYCE3/PRC1/RAD21/DPF1/SYCP2/TEX11/KIF4B/MAEL/TEX14/MND1/REC8/ACTL6B/TEX15/SHOC1/KASH5/MAJIN",98
"GO:1903046","meiotic cell cycle process","75/2639","220/18805",0.340909090909091,2.42925178270006,8.61553655430869,3.51829059082004e-14,2.60177589191142e-11,2.30725793482198e-11,"PKMYT1/CDC25C/NUF2/PLK1/ASPM/PTTG1/AURKA/CKS2/ZWINT/SKA1/NDC80/SKA3/SGO1/TOP2A/CDC20/CCNB2/KNL1/RAD51/NCAPH/ESPL1/TTK/TRIP13/RAD54L/KIF18A/EME1/RAD51AP1/FBXO43/RAD54B/CCNE2/P3H4/BRIP1/FANCD2/CDC25A/RMI1/TESMIN/FANCA/CCNE1/DCAF13/BRCA2/MAPK15/CENPX/TUBG1/SMC4/CALR/TDRKH/MYBL1/HSF2BP/EME2/TEX19/TUBB8/CENPS/HORMAD1/SPIRE2/SYCE3/RAD21/CDC25B/OVOL1/SYCP2/TEX11/MAEL/HUS1B/TEX14/DMRT1/STRA8/MND1/REC8/ASZ1/BRDT/DMRTC2/TEX15/MEIOSIN/SHOC1/KASH5/TDRD12/MAJIN",75
"GO:0051321","meiotic cell cycle","91/2639","293/18805",0.310580204778157,2.21313404731082,8.4558926362817,4.12946102781949e-14,2.71443238228668e-11,2.40716184358507e-11,"NEK2/PKMYT1/CDC25C/NUF2/PLK1/ASPM/EXO1/PTTG1/AURKA/CKS2/ZWINT/SKA1/NDC80/SKA3/SGO1/TOP2A/CDC20/CCNB2/KNL1/RAD51/NCAPH/ESPL1/TTK/TRIP13/RAD54L/KIF18A/EME1/PRR19/RAD51AP1/FBXO43/RAD54B/H2AX/CCNE2/P3H4/BRIP1/XRCC2/FANCD2/CDC25A/SGO2/RMI1/TESMIN/FANCA/CCNE1/BUB3/DCAF13/BRCA2/MAPK15/CENPX/TUBG1/SMC4/CALR/TDRKH/MYBL1/HSF2BP/EME2/TEX19/TUBB8/RSPH1/CENPS/ANAPC11/HORMAD1/SPIRE2/SYCE3/RAD21/SMC1B/CDC25B/OVOL1/SYCP2/TEX11/MAEL/ZFP42/HUS1B/TEX14/DMRT1/STRA8/MND1/REC8/ASZ1/RAD21L1/BRDT/DMRTC2/TEX15/MEIOSIN/SHOC1/PIWIL1/KASH5/TDRD1/TDRD12/MAJIN/PIWIL3/FAM9A",91
"GO:0140013","meiotic nuclear division","69/2639","197/18805",0.350253807106599,2.49584041024615,8.52731006974517,8.26970079495907e-14,4.71559668072242e-11,4.18179670771868e-11,"NUF2/PLK1/ASPM/PTTG1/AURKA/CKS2/ZWINT/SKA1/NDC80/SKA3/SGO1/TOP2A/CDC20/CCNB2/KNL1/RAD51/NCAPH/ESPL1/TTK/TRIP13/RAD54L/KIF18A/EME1/RAD51AP1/FBXO43/RAD54B/CCNE2/P3H4/BRIP1/FANCD2/RMI1/TESMIN/FANCA/CCNE1/DCAF13/BRCA2/MAPK15/CENPX/SMC4/CALR/TDRKH/MYBL1/HSF2BP/EME2/TEX19/TUBB8/CENPS/HORMAD1/SPIRE2/SYCE3/RAD21/CDC25B/SYCP2/TEX11/MAEL/TEX14/DMRT1/STRA8/MND1/REC8/ASZ1/BRDT/DMRTC2/TEX15/MEIOSIN/SHOC1/KASH5/TDRD12/MAJIN",69
"GO:0048285","organelle fission","132/2639","498/18805",0.265060240963855,1.88876765112744,8.12152992287695,8.76801275996393e-14,4.71559668072242e-11,4.18179670771868e-11,"NEK2/KIF4A/PKMYT1/UBE2C/TPX2/CDC25C/NUF2/UHRF1/SPC25/CDK1/CENPF/BUB1/PLK1/SPC24/KIFC1/KIF18B/DLGAP5/CCNB1/ASPM/PTTG1/AURKA/CKS2/KIF2C/ZWINT/ANLN/SKA1/NDC80/CDCA8/SKA3/KIF14/SGO1/CDCA5/BIRC5/TOP2A/CDC20/CCNB2/BUB1B/KNL1/KIF23/KIF11/NCAPG/SPAG5/MKI67/RAD51/NCAPH/AURKB/MYBL2/ESPL1/MTFR2/CENPE/KIF15/TTK/UBE2S/TRIP13/RACGAP1/RAD54L/KIF18A/MAD2L1/CDCA2/EME1/KIF22/RAD51AP1/CENPI/CDT1/CENPK/FBXO43/RAD54B/MISP/PSRC1/CCNE2/P3H4/BRIP1/FANCD2/CHEK1/HASPIN/ZWILCH/RMI1/TESMIN/FANCA/CCNE1/REEP4/BUB3/DCAF13/RCC1/BRCA2/MAPK15/CENPX/TUBG1/SMC4/KNSTRN/CALR/TDRKH/NCAPG2/GEN1/MYO19/MYBL1/KNTC1/HSF2BP/EME2/TEX19/TUBB8/CENPS/ANAPC11/HORMAD1/SPIRE2/RRS1/SYCE3/PRC1/RAD21/MTBP/CDC25B/SYCP2/TEX11/KIF4B/MTFP1/MAEL/TEX14/DMRT1/STRA8/MND1/REC8/GDAP1/ASZ1/BRDT/DMRTC2/TEX15/MEIOSIN/SHOC1/EPGN/KASH5/TDRD12/MAJIN",132
"GO:0065004","protein-DNA complex assembly","78/2639","242/18805",0.322314049586777,2.29674714000733,8.20318353899975,3.18921795986325e-13,1.57228445421258e-10,1.3943037115753e-10,"ASF1B/HJURP/CENPF/DLGAP5/RAD51/CENPA/MACROH2A1/CDC45/CENPE/H3C10/OIP5/CENPI/H2BC17/CDT1/CENPK/H2AX/H2BC6/ATAD2/H3C12/H2BC9/CENPO/H4C5/H4C9/H2BC7/H4C4/H4C14/H2BC4/SMYD3/CHAF1B/H2BC11/MIS18A/H3C2/MCM2/H4C8/CENPX/H2BC21/H1-2/CHAF1A/CENPH/H1-5/KNTC1/H4C12/H3C8/H2BC8/H2BC13/H4C11/H1-3/H3C3/CENPP/CENPN/HMGB2/H2BC15/H1-4/H1-6/H2BC14/CENPW/H4C3/H3C7/H3C6/H4C2/H3C13/H4C16/H3C11/H2BC3/H2BC10/H4C1/ESR1/H4C15/H3C14/H3C1/TAF7L/H3C15/H1-1/H4C6/H4C13/H3-4/TAF11L11/TSPYL6",78
"GO:0071824","protein-DNA complex organization","81/2639","262/18805",0.309160305343511,2.2030161204944,7.92274398869691,1.35111885167201e-12,6.14863009730123e-10,5.45261243460185e-10,"ASF1B/HJURP/CENPF/DLGAP5/RAD51/CENPA/MACROH2A1/CDC45/CENPE/H3C10/OIP5/CENPI/H2BC17/CDT1/CENPK/H2AX/H2BC6/ATAD2/H3C12/H2BC9/CENPO/H4C5/H4C9/H2BC7/H4C4/H4C14/H2BC4/SMYD3/CHAF1B/H2BC11/MIS18A/H3C2/MCM2/H4C8/CENPX/H2BC21/HMGA1/H1-2/CHAF1A/CENPH/H1-5/KNTC1/H4C12/H3C8/H2BC8/H2BC13/H4C11/H1-3/H3C3/CENPP/CENPN/HMGB2/H2BC15/H2AC25/H1-4/H1-6/H2BC14/CENPW/H4C3/H3C7/H3C6/H4C2/H3C13/H4C16/H3C11/H2BC3/H2BC10/H4C1/ESR1/H4C15/H3C14/H3C1/NFE2/TAF7L/H3C15/H1-1/H4C6/H4C13/H3-4/TAF11L11/TSPYL6",81
"GO:0000070","mitotic sister chromatid segregation","65/2639","193/18805",0.336787564766839,2.3998825901631,7.89800263175379,3.29996502564603e-12,1.39447093512299e-09,1.23661847276841e-09,"NEK2/KIF4A/UBE2C/TPX2/NUF2/UHRF1/SPC25/CDK1/CENPF/BUB1/PLK1/SPC24/KIFC1/KIF18B/DLGAP5/CCNB1/KIF2C/ZWINT/SKA1/NDC80/CDCA8/SKA3/KIF14/CDCA5/BIRC5/CDC20/BUB1B/KNL1/KIF23/KIF11/NCAPG/SPAG5/NCAPH/AURKB/MYBL2/ESPL1/CENPE/KIF15/TTK/TRIP13/RACGAP1/KIF18A/MAD2L1/KIF22/CENPI/CDT1/CENPK/MISP/PSRC1/HASPIN/ZWILCH/BUB3/RCC1/TUBG1/SMC4/KNSTRN/NCAPG2/GEN1/KNTC1/ANAPC11/RRS1/PRC1/RAD21/KIF4B/TEX14",65
"GO:1905818","regulation of chromosome separation","36/2639","77/18805",0.467532467532468,3.33154530198865,8.28298833244462,4.99442701371643e-12,1.96980201420976e-09,1.74682275342896e-09,"UBE2C/NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/DLGAP5/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/NCAPG/NCAPH/AURKB/ESPL1/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/MAPK15/SMC4/NCAPG2/GEN1/KNTC1/ANAPC11/RAD21/TEX14",36
"GO:0051784","negative regulation of nuclear division","32/2639","65/18805",0.492307692307692,3.50808872824788,8.1838622465427,1.34034419555234e-11,4.95592266305478e-09,4.39491807278478e-09,"NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/TTK/TRIP13/MAD2L1/FBXO43/CHEK1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/HORMAD1/RAD21/MTBP/TEX14/DMRT1",32
"GO:0010965","regulation of mitotic sister chromatid separation","31/2639","62/18805",0.5,3.56290261462675,8.16680010017273,1.66596274308943e-11,5.7975503459512e-09,5.14127449632056e-09,"UBE2C/NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/DLGAP5/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/ESPL1/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/ANAPC11/RAD21/TEX14",31
"GO:0000819","sister chromatid segregation","72/2639","234/18805",0.307692307692308,2.19255545515492,7.41672875398401,3.02475798384053e-11,9.94137124022256e-09,8.81601976108844e-09,"NEK2/KIF4A/UBE2C/TPX2/NUF2/UHRF1/SPC25/CDK1/CENPF/BUB1/PLK1/SPC24/KIFC1/KIF18B/DLGAP5/CCNB1/KIF2C/ZWINT/SKA1/NDC80/CDCA8/SKA3/KIF14/CDCA5/BIRC5/TOP2A/CDC20/BUB1B/KNL1/KIF23/KIF11/NCAPG/SPAG5/NCAPH/AURKB/MYBL2/RMI2/ESPL1/TACC3/CENPE/KIF15/TTK/TRIP13/RACGAP1/KIF18A/MAD2L1/KIF22/CDC6/CENPI/CDT1/CENPK/MISP/PSRC1/HASPIN/ZWILCH/BUB3/RCC1/MAPK15/TUBG1/SMC4/KNSTRN/NCAPG2/GEN1/KNTC1/ANAPC11/RRS1/PRC1/RAD21/DPF1/KIF4B/TEX14/ACTL6B",72
"GO:0045653","negative regulation of megakaryocyte differentiation","16/2639","20/18805",0.8,5.7006441834028,8.49787435697648,6.00374938356011e-11,1.57312500343871e-08,1.3950491116221e-08,"H4C5/H4C9/H4C4/H4C14/H4C8/H4C12/H4C11/CIB1/H4C3/H4C2/H4C16/H4C1/H4C15/MYB/H4C6/H4C13",16
"GO:0033046","negative regulation of sister chromatid segregation","27/2639","51/18805",0.529411764705882,3.7724851213695,8.01033880768549,6.11593561174615e-11,1.57312500343871e-08,1.3950491116221e-08,"NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/RAD21/TEX14",27
"GO:0033048","negative regulation of mitotic sister chromatid segregation","27/2639","51/18805",0.529411764705882,3.7724851213695,8.01033880768549,6.11593561174615e-11,1.57312500343871e-08,1.3950491116221e-08,"NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/RAD21/TEX14",27
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","27/2639","51/18805",0.529411764705882,3.7724851213695,8.01033880768549,6.11593561174615e-11,1.57312500343871e-08,1.3950491116221e-08,"NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/RAD21/TEX14",27
"GO:2000816","negative regulation of mitotic sister chromatid separation","27/2639","51/18805",0.529411764705882,3.7724851213695,8.01033880768549,6.11593561174615e-11,1.57312500343871e-08,1.3950491116221e-08,"NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/RAD21/TEX14",27
"GO:0051306","mitotic sister chromatid separation","31/2639","65/18805",0.476923076923077,3.39846095549013,7.82614819099912,7.89689347688347e-11,1.94658424205177e-08,1.72623320564856e-08,"UBE2C/NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/DLGAP5/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/ESPL1/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/ANAPC11/RAD21/TEX14",31
"GO:0061982","meiosis I cell cycle process","50/2639","140/18805",0.357142857142857,2.54493043901911,7.41314474157263,9.5465358044851e-11,2.25909223277335e-08,2.00336566103384e-08,"PKMYT1/CDC25C/PLK1/PTTG1/AURKA/CKS2/ZWINT/NDC80/TOP2A/CDC20/CCNB2/KNL1/RAD51/ESPL1/TRIP13/RAD54L/EME1/RAD51AP1/RAD54B/CCNE2/P3H4/BRIP1/FANCD2/CDC25A/RMI1/CCNE1/BRCA2/MAPK15/CENPX/MYBL1/HSF2BP/EME2/TEX19/CENPS/HORMAD1/SYCE3/RAD21/CDC25B/SYCP2/TEX11/MAEL/DMRT1/MND1/REC8/BRDT/DMRTC2/TEX15/SHOC1/KASH5/MAJIN",50
"GO:0051304","chromosome separation","36/2639","84/18805",0.428571428571429,3.05391652682293,7.62257032831361,1.11838817276892e-10,2.54476324234651e-08,2.25669904983008e-08,"UBE2C/NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/DLGAP5/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/NCAPG/NCAPH/AURKB/ESPL1/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/MAPK15/SMC4/NCAPG2/GEN1/KNTC1/ANAPC11/RAD21/TEX14",36
"GO:0045839","negative regulation of mitotic nuclear division","29/2639","59/18805",0.491525423728814,3.50251443471782,7.77842770883152,1.27625256110609e-10,2.55334608892569e-08,2.26431032831672e-08,"NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/TTK/TRIP13/MAD2L1/CHEK1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/RAD21/MTBP/TEX14",29
"GO:0007094","mitotic spindle assembly checkpoint signaling","26/2639","49/18805",0.530612244897959,3.78103950939982,7.87550870576,1.29480024793392e-10,2.55334608892569e-08,2.26431032831672e-08,"NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/TEX14",26
"GO:0071173","spindle assembly checkpoint signaling","26/2639","49/18805",0.530612244897959,3.78103950939982,7.87550870576,1.29480024793392e-10,2.55334608892569e-08,2.26431032831672e-08,"NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/TEX14",26
"GO:0071174","mitotic spindle checkpoint signaling","26/2639","49/18805",0.530612244897959,3.78103950939982,7.87550870576,1.29480024793392e-10,2.55334608892569e-08,2.26431032831672e-08,"NUF2/SPC25/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/AURKB/TTK/TRIP13/MAD2L1/HASPIN/ZWILCH/BUB3/GEN1/KNTC1/TEX14",26
"GO:0000075","cell cycle checkpoint signaling","60/2639","186/18805",0.32258064516129,2.29864684814629,7.19139081553232,1.62422670383931e-10,3.09965328384302e-08,2.74877619420547e-08,"NUF2/SPC25/CDK1/DTL/CENPF/BUB1/PLK1/SPC24/CCNB1/ZWINT/SKA1/NDC80/CDCA8/SKA3/BIRC5/CDC20/BUB1B/KNL1/CLSPN/RAD51/AURKB/CDC45/E2F1/TTK/TRIP13/MAD2L1/EME1/CDC6/TIMELESS/CDT1/INTS7/H2AX/ORC1/BRIP1/DNA2/FANCD2/CHEK1/HASPIN/BLM/ZWILCH/DONSON/WDR76/TICRR/BUB3/BRCA2/BARD1/GEN1/KNTC1/BRSK2/FBXO6/EME2/HORMAD1/TELO2/BRCA1/CAMSAP3/IER3/CCND1/HUS1B/BRSK1/TEX14",60
